symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2020-04-08 00:00:00+00:00,1207.0,1214.9,1183.95,1203.1,2016713,1207.0,1214.9,1183.95,1203.1,2016713,0.0,1.0
GOOGL,2020-04-09 00:00:00+00:00,1206.57,1221.99,1192.42,1218.18,2701423,1206.57,1221.99,1192.42,1218.18,2701423,0.0,1.0
GOOGL,2020-04-13 00:00:00+00:00,1210.41,1214.52,1182.33,1201.5,1935128,1210.41,1214.52,1182.33,1201.5,1935128,0.0,1.0
GOOGL,2020-04-14 00:00:00+00:00,1265.23,1275.75,1228.54,1239.97,3167862,1265.23,1275.75,1228.54,1239.97,3167862,0.0,1.0
GOOGL,2020-04-15 00:00:00+00:00,1257.3,1275.11,1234.0,1246.51,2111842,1257.3,1275.11,1234.0,1246.51,2111842,0.0,1.0
GOOGL,2020-04-16 00:00:00+00:00,1257.43,1273.36,1238.2,1267.14,2894757,1257.43,1273.36,1238.2,1267.14,2894757,0.0,1.0
GOOGL,2020-04-17 00:00:00+00:00,1279.0,1290.0,1266.0,1281.7,2552824,1279.0,1290.0,1266.0,1281.7,2552824,0.0,1.0
GOOGL,2020-04-20 00:00:00+00:00,1261.15,1276.82,1256.44,1269.89,1764608,1261.15,1276.82,1256.44,1269.89,1764608,0.0,1.0
GOOGL,2020-04-21 00:00:00+00:00,1212.16,1250.0,1205.0,1242.71,2482404,1212.16,1250.0,1205.0,1242.71,2482404,0.0,1.0
GOOGL,2020-04-22 00:00:00+00:00,1258.41,1279.88,1237.2,1241.11,2315792,1258.41,1279.88,1237.2,1241.11,2315792,0.0,1.0
GOOGL,2020-04-23 00:00:00+00:00,1271.17,1288.15,1260.53,1265.74,1710122,1271.17,1288.15,1260.53,1265.74,1710122,0.0,1.0
GOOGL,2020-04-24 00:00:00+00:00,1276.6,1277.71,1244.0,1255.0,1872004,1276.6,1277.71,1244.0,1255.0,1872004,0.0,1.0
GOOGL,2020-04-27 00:00:00+00:00,1270.86,1294.1,1265.06,1292.0,2209333,1270.86,1294.1,1265.06,1292.0,2209333,0.0,1.0
GOOGL,2020-04-28 00:00:00+00:00,1232.59,1284.76,1230.38,1283.2,4035007,1232.59,1284.76,1230.38,1283.2,4035007,0.0,1.0
GOOGL,2020-04-29 00:00:00+00:00,1342.18,1360.15,1326.73,1345.0,5417888,1342.18,1360.15,1326.73,1345.0,5417888,0.0,1.0
GOOGL,2020-04-30 00:00:00+00:00,1346.7,1350.0,1321.5,1331.36,2792124,1346.7,1350.0,1321.5,1331.36,2792124,0.0,1.0
GOOGL,2020-05-01 00:00:00+00:00,1317.32,1351.43,1309.66,1324.09,2443554,1317.32,1351.43,1309.66,1324.09,2443554,0.0,1.0
GOOGL,2020-05-04 00:00:00+00:00,1322.9,1324.47,1296.01,1308.13,1540347,1322.9,1324.47,1296.01,1308.13,1540347,0.0,1.0
GOOGL,2020-05-05 00:00:00+00:00,1349.02,1371.01,1335.03,1337.5,1983318,1349.02,1371.01,1335.03,1337.5,1983318,0.0,1.0
GOOGL,2020-05-06 00:00:00+00:00,1345.43,1368.69,1345.13,1358.0,1586629,1345.43,1368.69,1345.13,1358.0,1586629,0.0,1.0
GOOGL,2020-05-07 00:00:00+00:00,1369.28,1376.0,1352.54,1361.31,1535819,1369.28,1376.0,1352.54,1361.31,1535819,0.0,1.0
GOOGL,2020-05-08 00:00:00+00:00,1384.34,1396.64,1372.01,1381.82,1666487,1384.34,1396.64,1372.01,1381.82,1666487,0.0,1.0
GOOGL,2020-05-11 00:00:00+00:00,1403.59,1415.53,1375.5,1376.79,1635856,1403.59,1415.53,1375.5,1376.79,1635856,0.0,1.0
GOOGL,2020-05-12 00:00:00+00:00,1375.18,1414.33,1374.51,1408.22,1695874,1375.18,1414.33,1374.51,1408.22,1695874,0.0,1.0
GOOGL,2020-05-13 00:00:00+00:00,1348.33,1385.33,1328.01,1376.16,2018404,1348.33,1385.33,1328.01,1376.16,2018404,0.0,1.0
GOOGL,2020-05-14 00:00:00+00:00,1356.86,1357.37,1323.3,1333.52,1833017,1356.86,1357.37,1323.3,1333.52,1833017,0.0,1.0
GOOGL,2020-05-15 00:00:00+00:00,1373.06,1374.58,1339.0,1348.26,2077199,1373.06,1374.58,1339.0,1348.26,2077199,0.0,1.0
GOOGL,2020-05-18 00:00:00+00:00,1385.18,1392.76,1354.2,1361.58,2356449,1385.18,1392.76,1354.2,1361.58,2356449,0.0,1.0
GOOGL,2020-05-19 00:00:00+00:00,1374.4,1392.49,1373.76,1385.48,1579250,1374.4,1392.49,1373.76,1385.48,1579250,0.0,1.0
GOOGL,2020-05-20 00:00:00+00:00,1409.16,1412.03,1387.42,1389.16,1913133,1409.16,1412.03,1387.42,1389.16,1913133,0.0,1.0
GOOGL,2020-05-21 00:00:00+00:00,1406.75,1416.46,1394.39,1410.99,1537428,1406.75,1416.46,1394.39,1410.99,1537428,0.0,1.0
GOOGL,2020-05-22 00:00:00+00:00,1413.24,1417.0,1395.95,1403.9,1427206,1413.24,1417.0,1395.95,1403.9,1427206,0.0,1.0
GOOGL,2020-05-26 00:00:00+00:00,1421.37,1445.11,1419.39,1441.96,2229488,1421.37,1445.11,1419.39,1441.96,2229488,0.0,1.0
GOOGL,2020-05-27 00:00:00+00:00,1420.28,1425.35,1394.6,1420.0,1584185,1420.28,1425.35,1394.6,1420.0,1584185,0.0,1.0
GOOGL,2020-05-28 00:00:00+00:00,1418.24,1444.46,1399.08,1400.0,1759787,1418.24,1444.46,1399.08,1400.0,1759787,0.0,1.0
GOOGL,2020-05-29 00:00:00+00:00,1433.52,1436.73,1415.98,1420.43,1852522,1433.52,1436.73,1415.98,1420.43,1852522,0.0,1.0
GOOGL,2020-06-01 00:00:00+00:00,1434.87,1441.58,1422.28,1425.7,1259254,1434.87,1441.58,1422.28,1425.7,1259254,0.0,1.0
GOOGL,2020-06-02 00:00:00+00:00,1442.31,1443.0,1421.61,1435.0,1172069,1442.31,1443.0,1421.61,1435.0,1172069,0.0,1.0
GOOGL,2020-06-03 00:00:00+00:00,1439.25,1449.01,1431.62,1442.7,1386640,1439.25,1449.01,1431.62,1442.7,1386640,0.0,1.0
GOOGL,2020-06-04 00:00:00+00:00,1414.3,1441.32,1406.01,1436.78,1349105,1414.3,1441.32,1406.01,1436.78,1349105,0.0,1.0
GOOGL,2020-06-05 00:00:00+00:00,1440.02,1446.3,1407.62,1415.64,2132350,1440.02,1446.3,1407.62,1415.64,2132350,0.0,1.0
GOOGL,2020-06-08 00:00:00+00:00,1448.04,1449.0,1424.48,1426.28,1693881,1448.04,1449.0,1424.48,1426.28,1693881,0.0,1.0
GOOGL,2020-06-09 00:00:00+00:00,1452.08,1467.8,1442.36,1445.24,1681155,1452.08,1467.8,1442.36,1445.24,1681155,0.0,1.0
GOOGL,2020-06-10 00:00:00+00:00,1464.7,1472.77,1454.36,1461.51,1588116,1464.7,1472.77,1454.36,1461.51,1588116,0.0,1.0
GOOGL,2020-06-11 00:00:00+00:00,1401.9,1451.6,1398.41,1441.03,2357243,1401.9,1451.6,1398.41,1441.03,2357243,0.0,1.0
GOOGL,2020-06-12 00:00:00+00:00,1412.92,1434.51,1385.8,1425.86,1833756,1412.92,1434.51,1385.8,1425.86,1833756,0.0,1.0
GOOGL,2020-06-15 00:00:00+00:00,1420.74,1425.0,1387.2,1389.49,1527652,1420.74,1425.0,1387.2,1389.49,1527652,0.0,1.0
GOOGL,2020-06-16 00:00:00+00:00,1446.47,1457.17,1428.99,1449.0,1534826,1446.47,1457.17,1428.99,1449.0,1534826,0.0,1.0
